name,type_of_meteorite,mass_g,fell_found,year,database,coordinate_1,coordinates_2,cartodb_id,created_at,updated_at,year_date,long,lat,geojson
Aarhus,H6,720,Fell,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=2,56.18333,10.23333,4432,56:02.8,11:51.9,1/1/1951 0:00,10.23333,56.18333,"{""type"":""Point"",""coordinates"":[10.23333,56.18333]}"
Aba,Pseudometeorite,0,Fell,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=3,35.95,140.4,34346,56:02.8,11:51.9,1/1/1927 0:00,140.4,35.95,"{""type"":""Point"",""coordinates"":[140.4,35.95]}"
Abee,EH4,107000,Fell,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=6,54.21667,-113,247,56:02.8,11:51.9,1/1/1952 0:00,-113,54.21667,"{""type"":""Point"",""coordinates"":[-113,54.21667]}"
Acapulco,Acapulcoite,1914,Fell,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=10,16.88333,-99.9,2788,56:02.8,11:51.9,1/1/1976 0:00,-99.9,16.88333,"{""type"":""Point"",""coordinates"":[-99.9,16.88333]}"
Achiras,L6,780,Fell,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=370,-33.16667,-64.95,4270,56:02.8,11:51.9,1/1/1902 0:00,-64.95,-33.16667,"{""type"":""Point"",""coordinates"":[-64.95,-33.16667]}"
Adhi Kot,EH4,4239,Fell,1919,http://www.lpi.usra.edu/meteor/metbull.php?code=379,32.1,71.8,1888,56:02.8,11:51.9,1/1/1919 0:00,71.8,32.1,"{""type"":""Point"",""coordinates"":[71.8,32.1]}"
Adzhi-Bogdo (stone),LL3-6,910,Fell,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=390,44.83333,95.16667,3972,56:02.8,11:51.9,1/1/1949 0:00,95.16667,44.83333,"{""type"":""Point"",""coordinates"":[95.16667,44.83333]}"
Agen,H5,30000,Fell,1814,http://www.lpi.usra.edu/meteor/metbull.php?code=392,44.21667,0.61667,606,56:02.8,11:51.9,1814-01-01 00:00:00,0.61667,44.21667,"{""type"":""Point"",""coordinates"":[0.61667,44.21667]}"
Aglar,Doubtful meteorite,0,Fell,1112,http://www.lpi.usra.edu/meteor/metbull.php?code=394,45.78333,13.36667,34253,56:02.8,11:51.9,1112-01-01 00:00:00,13.36667,45.78333,"{""type"":""Point"",""coordinates"":[13.36667,45.78333]}"
Aguada,L6,1620,Fell,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=398,-31.6,-65.23333,3002,56:02.8,11:51.9,1/1/1930 0:00,-65.23333,-31.6,"{""type"":""Point"",""coordinates"":[-65.23333,-31.6]}"
Aguila Blanca,L,1440,Fell,1920,http://www.lpi.usra.edu/meteor/metbull.php?code=417,-30.86667,-64.55,3197,56:02.8,11:51.9,1/1/1920 0:00,-64.55,-30.86667,"{""type"":""Point"",""coordinates"":[-64.55,-30.86667]}"
Ahmedabad,Doubtful meteorite,0,Fell,892,http://www.lpi.usra.edu/meteor/metbull.php?code=418,32.08333,44.33333,34248,56:02.8,11:51.9,0892-01-01 00:00:00,44.33333,32.08333,"{""type"":""Point"",""coordinates"":[44.33333,32.08333]}"
A��r,L6,24000,Fell,1925,http://www.lpi.usra.edu/meteor/metbull.php?code=424,19.08333,8.38333,717,56:02.8,11:51.9,1/1/1925 0:00,8.38333,19.08333,"{""type"":""Point"",""coordinates"":[8.38333,19.08333]}"
Aidin,Doubtful meteorite,0,Fell,1340,http://www.lpi.usra.edu/meteor/metbull.php?code=420,37.83333,27.8,34259,56:02.8,11:51.9,1340-01-01 00:00:00,27.8,37.83333,"{""type"":""Point"",""coordinates"":[27.8,37.83333]}"
Aioun el Atrouss,Diogenite-pm,1000,Fell,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=423,16.39806,-9.57028,3793,56:02.8,11:51.9,1/1/1974 0:00,-9.57028,16.39806,"{""type"":""Point"",""coordinates"":[-9.57028,16.39806]}"
Aire-sur-la-Lys,Unknown,0,Fell,1769,http://www.lpi.usra.edu/meteor/metbull.php?code=425,50.66667,2.33333,34295,56:02.8,11:51.9,1769-01-01 00:00:00,2.33333,50.66667,"{""type"":""Point"",""coordinates"":[2.33333,50.66667]}"
Akaba,L6,779,Fell,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=426,29.51667,35.05,4274,56:02.8,11:51.9,1/1/1949 0:00,35.05,29.51667,"{""type"":""Point"",""coordinates"":[35.05,29.51667]}"
Akbarpur,H4,1800,Fell,1838,http://www.lpi.usra.edu/meteor/metbull.php?code=427,29.71667,77.95,2869,56:02.8,11:51.9,1838-01-01 00:00:00,77.95,29.71667,"{""type"":""Point"",""coordinates"":[77.95,29.71667]}"
